"","twitter_id","screen_name","favorites_count","followers_count","friends_count","listed_count","statuses_count","creation_date","creation_time","location","link_color","sidebar_border_color","sidebar_fill_color","text_color","party"
"62",23925041,"SteffenBilger",4797,4301,743,238,2775,"2009-03-12","09:30:05","Ludwigsburg / Berlin","1DA1F2","C0DEED","DDEEF6","333333","C"
"63",24158261,"HeikoMaas",800,316865,3142,1403,5369,"2009-03-13","11:37:00","Saarlouis/Berlin","990066","FFFFFF","DDEEF6","333333","S"
"64",24178198,"LoetzschMdB",7810,4960,1033,260,4410,"2009-03-13","14:23:41","Berlin Bundestag","E92F3A","0","C9C5C5","634578","L"
"65",24674518,"BerndSiebert",0,1966,874,159,295,"2009-03-16","10:39:51","Gudensberg Germany","838586","181A1E","232325","DB7E06","C"
"66",24725119,"GrueneBundestag",4795,101294,789,1407,19981,"2009-03-16","16:59:39","Deutschland Berlin","0067AD","FFFFFF","E3E2DE","634047","G"
"67",25816024,"GabiHillerOhm",260,3352,364,265,14867,"2009-03-22","13:15:56","Lübeck","0E32B2","0E32B2","529","09C9C9","S"
"68",25978797,"silviaschmidt",0,1277,296,122,328,"2009-03-23","10:05:45","Germany Saxony-Anhalt","E2001A","0","FF7575","0","S"
"69",25980076,"cad59",40,1341,35,157,1148,"2009-03-23","10:24:55","Strande","1B95E0","00519E","FBEE31","000D5A","F"
"70",26102710,"SCLemme",2350,2100,1602,183,2694,"2009-03-23","22:08:56","Thüringen Wahlkreis 191","772226","202618","AF1229","ACA0A0","S"
"71",26203837,"Elke_Ferner",4465,7552,1979,352,6365,"2009-03-24","09:09:19","Saarbrücken","990066","FFFFFF","EDECE9","3D1957","S"
"72",26713568,"michaelaengel",3661,3754,1968,141,7015,"2009-03-26","08:53:19","Engelskirchen","4E2448","FFFFFF","DDFFCC","333333","S"
"73",26869088,"franksteffel",738,2648,454,192,1529,"2009-03-26","22:18:19","Berlin Reinickendorf","0084B4","FFFFFF","E8E8E8","333333","C"
"74",28066013,"katjakipping",2643,89133,368,1107,6904,"2009-04-01","06:57:45","Dresden Berlin","DE2922","0","0","0","L"
"75",28087038,"franksitta",8406,2935,1765,144,8229,"2009-04-01","11:12:09","Sachsen-Anhalt Deutschland","042F85","0","0","0","F"
"76",28089973,"josefoster",174,498,276,39,243,"2009-04-01","11:40:24","Koblenz Deutschland","C4B4B1","86A4A6","A0C5C7","333333","C"
"77",28327765,"DanielaKluckert",1445,1524,497,61,632,"2009-04-02","12:28:07","Berlin Deutschland","1DA1F2","C0DEED","DDEEF6","333333","F"
"78",28446356,"VolkerUllrich",1095,2772,988,149,1833,"2009-04-02","23:25:37","Augsburg und Berlin","0084B4","1F1D1D","F0F039","333333","C"
"79",28525166,"DWoehrl",3421,12416,1963,456,14696,"2009-04-03","07:54:13","Nürnberg und Berlin","1DA1F2","C0DEED","DDEEF6","333333","C"
"80",28784085,"MartinRosemann",7412,1670,612,131,4262,"2009-04-04","12:29:11","Berlin","FF0000","F2E195","FFF7CC","0C3E53","S"
"81",29540300,"bstrasser",1241,1909,1107,66,1894,"2009-04-07","20:46:18","Berg","ABB8C2","AE7422","EBEBEB","0","F"
"82",29858729,"JuliaKloeckner",4272,58543,1545,1110,27171,"2009-04-08","23:48:09","","0084B4","BDDCAD","DDFFCC","333333","C"
"83",30050484,"FrankSchwabe",1991,5044,878,263,10084,"2009-04-09","19:39:53","","FF3300","86A4A6","A0C5C7","333333","S"
"84",30838821,"Andreas_Rimkus",621,1491,560,128,2870,"2009-04-13","09:46:24","Düsseldorf NRW Deutschland","E70D1A","FFFFFF","FEFBFB","161212","S"
"85",33043294,"VolkmarKlein",4,1565,60,154,285,"2009-04-18","23:02:55","Berlin","0084B4","C0DEED","DDEEF6","333333","A"
"86",33071479,"Erwin_Rueddel",1610,3967,231,270,12277,"2009-04-19","00:47:55","Windhagen Kreis Neuwied","0","E32C23","878684","FF9900","C"
"87",35687457,"kahrs",120637,21377,4235,581,114728,"2009-04-27","06:23:08","Hamburg","C11E1E","C11E1E","95BBC6","333333","S"
"88",35846585,"EvaHoegl",20589,12495,3090,533,13365,"2009-04-27","20:14:48","Berlin","1DA1F2","C0DEED","DDEEF6","333333","S"
"89",36068306,"guentergloser",25,2582,1987,231,2756,"2009-04-28","13:48:20","Nürnberg","17184F","F4E13E","F36239","333333","S"
"90",36327895,"SoenkeRix",2464,5634,1393,318,10182,"2009-04-29","10:16:00","Eckernförde","FF0000","F2E195","FFF7CC","0C3E53","S"
"91",36329898,"BurkertMartin",692,1083,603,92,413,"2009-04-29","10:35:45","Nuremberg Bavaria","DD2E44","0","0","0","S"
"92",36665085,"LischkaB",1400,3498,614,257,8084,"2009-04-30","13:47:04","Magdeburg / Berlin","0084B4","C0DEED","DDEEF6","333333","S"
"93",37105136,"tj_tweets",1417,12441,728,509,8245,"2009-05-02","01:39:20","Düsseldorf Germany","990000","FFFFFF","F3F3F3","333333","C"
